Postcode,Area Code,City / Town,Mini Price (3 ays),Mini Price (21 days),Midi Price (3 days),Midi Price (21 days),Builder Price (3 days),Builder Price  (21 days),Large Price (3 days),Large Price  (21 days)
LA2 0,Area-A,GALGATE,79.43,79.43,109.63,109.63,182.61,182.61,309.86,309.86
LA2 9O,Area-A,CATON,79.43,79.43,109.63,109.63,182.61,182.61,309.86,309.86
LA2 9N,Area-A,CATON,79.43,79.43,109.63,109.63,182.61,182.61,309.86,309.86
LA6 1,Area-A,CARNFORTH/BURTON OVER KELLET,79.43,79.43,109.63,109.63,182.61,182.61,309.86,309.86
LA2 7F,Area-B,BENTHAM/LOWGILL,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA2 7,Area-B,BENTHAM,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA2 8Q,Area-B,WRAY,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA2 8J,Area-B,HORNBY,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA2 9A,Area-B,DOLPHINHOLME,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA5 0,Area-B,SILVERDALE/ARNSIDE,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA6 2,Area-B,KIRKBY LONSDALE/BARBON,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA6 3L,Area-B,BURTON IN LONSDALE,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA6 3E,Area-B,INGLETON,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA6 3F,Area-B,INGLETON,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA6 3N,Area-B,INGLETON,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA7 7,Area-B,MILNTHORPE,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
PR3 1,Area-B,GARSTANG/CATTERAL ONLY,97.93,97.93,128.13,128.13,201.11,201.11,328.36,328.36
LA2 8B,Area-C,AUSTWICK,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA2 8H,Area-C,CLAPHAM/TATHAM,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA8 0,Area-C,KILLINGTON,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA6 3J,Area-C,CHAPEL LE DALES,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA8 0,Area-C,OLD  HUTTON/ENDMOOR,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA8 8,Area-C,LEVENS,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA8 9,Area-C,STAVELEY,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA9 4,Area-C,KENDAL,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA9 5,Area-C,KENDAL,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA9 6,Area-C,KENDAL,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA9 7,Area-C,KENDAL,114.93,114.93,145.13,145.13,218.11,218.11,345.36,345.36
LA11 6,Area-D,WITHERSLACK,120.93,120.93,151.13,151.13,224.11,224.11,351.36,351.36
LA11 7,Area-D,GRANGE,120.93,120.93,151.13,151.13,224.11,224.11,351.36,351.36
LA23 1,Area-D,WINDERMERE,120.93,120.93,151.13,151.13,224.11,224.11,351.36,351.36
LA23 2,Area-D,WINDERMERE,120.93,120.93,151.13,151.13,224.11,224.11,351.36,351.36
LA23 3,Area-D,WINDERMERE,120.93,120.93,151.13,151.13,224.11,224.11,351.36,351.36
LA10 1,Area-E,Sedbergh only,140.93,140.93,171.13,171.13,244.11,244.11,371.36,371.36
LA1 1,Local,LANCASTER,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA1 2,Local,LANCASTER,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA1 3,Local,LANCASTER,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA1 4,Local,SCOTFORD,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA1 5,Local,LANCASTER,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA2 6,Local,SLYNE,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA3 1,Local,MORECAMBE,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA3 2,Local,HEYSHAM,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA3 3,Local,MIDDLETON/MORECAMBE,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA4 4,Local,MORECAMBE,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA4 5,Local,MORECAMBE,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA4 6,Local,MORECAMBE,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA5 8,Local,BOLTON LE SANDS,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
LA5 9,Local,CARNFORTH,66.93,66.93,89.65,97.13,157.13,170.11,274,297.36
